Model,Library,Dataset,Entities,Frequency,Seasonality,Test_Size_h,Global_MASE,Global_sMAPE,Global_MAE,Global_RMSE,Forecast_Time_seconds
Theta,Statsforecast,ftsfr_french_portfolios_25_daily_size_and_bm,25,D,1,7232,0.98913311958313,2.3078153133392334,0.0104586957022547,0.0153433196246624,20.65093731880188
Theta,Statsforecast,ftsfr_he_kelly_manela_all,4,MS,1,104,4.926681518554688,0.95408833026886,78.12140655517578,114.37403869628906,0.1849870681762695
Theta,Statsforecast,ftsfr_he_kelly_manela_factors_daily,4,B,1,1384,7.431689739227295,2.047437191009521,26.968299865722656,32.641361236572266,1.1226534843444824
Theta,Statsforecast,ftsfr_he_kelly_manela_factors_monthly,4,MS,1,118,10.7132568359375,0.7407606840133667,304.07135009765625,307.7992553710937,0.1817779541015625
Theta,Statsforecast,ftsfr_hkm_option_returns,18,D,1,1748,1.5112543106079102,3.854400634765625,0.0203443430364131,0.0342220813035965,0.9680752754211426
Theta,Statsforecast,ftsfr_nyu_call_report_cash_liquidity,23816,QE,4,13,1.4743570293745714,0.1782844030644504,0.0314083858118462,0.0371236761901604,91.34738087654114
Theta,Statsforecast,ftsfr_nyu_call_report_holding_company_cash_liquidity,13279,QE,4,9,1.150586181437344,0.1606911673269237,0.0237558467038101,0.0270309532942654,26.24517011642456
Theta,Statsforecast,ftsfr_nyu_call_report_holding_company_leverage,13270,QE,4,9,0.9538367549611436,0.0376478455114986,0.7391339465376076,0.796130381257806,26.31766414642334
Theta,Statsforecast,ftsfr_nyu_call_report_leverage,22927,QE,4,13,0.8516409876492043,0.0375220017977039,0.6971542830597922,0.812384643015031,84.73417568206787
Theta,Statsforecast,ftsfr_tips_treasury_basis,4,ME,12,51,0.6755425333976746,0.457213282585144,11.253664016723633,13.43760871887207,0.1834430694580078
Theta,Statsforecast,ftsfr_treas_bond_portfolio_returns,10,ME,1,134,0.6189011335372925,1.3567571640014648,0.0046459049917757,0.006409662310034,0.2822051048278808
Theta,Statsforecast,ftsfr_treas_bond_returns,1951,ME,1,7,0.3244397342205047,1.8269078731536863,0.0100464820861816,0.0104434369131922,1.5344092845916748
Theta,Statsforecast,ftsfr_treas_yield_curve_zero_coupon,30,B,5,4687,11.01447582244873,0.305942565202713,1.222283124923706,1.6664174795150757,4.690400838851929
TiDE,Neuralforecast,ftsfr_CDS_bond_basis_non_aggregated,3314,ME,12,6,0.6693534177099437,0.2782641611281474,2.322656910890227,2.407356602371119,35.17317843437195
TiDE,Neuralforecast,ftsfr_CDS_contract_returns,6388,ME,1,6,0.3060143442832276,0.4027027146088029,0.0037008980328069,0.0037575024939979,42.572062492370605
TiDE,Neuralforecast,ftsfr_CDS_portfolio_returns,20,ME,1,56,0.6468808650970459,0.1208130940794944,0.0004528074641712,0.0007137687061913,64.50033617019653
TiDE,Neuralforecast,ftsfr_CIP_spreads,8,ME,12,204,0.8531859517097473,0.4602483510971069,17.760005950927734,19.85611343383789,173.2807698249817
TiDE,Neuralforecast,ftsfr_CRSP_monthly_stock_ret,26474,ME,1,17,1.5571157121815695,1.375717012008818,0.2007689145531984,0.2007688893736785,79.20161318778992
TiDE,Neuralforecast,ftsfr_CRSP_monthly_stock_retx,26474,ME,1,17,1.5223347377462355,1.2429550724847875,0.1971957770117832,0.197195814781063,77.20352005958557
TiDE,Neuralforecast,ftsfr_FX_returns,9,ME,1,380,19.320220947265625,0.9356908798217772,1.8478368520736692,2.345609188079834,326.48576855659485
TiDE,Neuralforecast,ftsfr_cjs_option_returns,54,D,1,1748,1.2008521556854248,0.7673477530479431,0.0216351170092821,0.0381610170006752,1072.4001331329346
TiDE,Neuralforecast,ftsfr_commodities_returns,4,ME,1,112,1.2085793018341064,1.5050023794174194,0.0837487056851387,0.1071268171072006,49.23226094245911
TiDE,Neuralforecast,ftsfr_corp_bond_portfolio_returns,10,ME,1,49,1.1370666027069092,1.1314421892166138,0.017442662268877,0.0248650591820478,46.86742210388184
TiDE,Neuralforecast,ftsfr_corp_bond_returns,22146,ME,1,7,1.191074882123612,2.162981966443501,0.0340276843136804,0.0351708975072886,112.0731508731842
TiDE,Neuralforecast,ftsfr_french_portfolios_25_daily_size_and_bm,25,D,1,7232,0.991893470287323,1.28740656375885,0.0104854572564363,0.0153518710285425,7487.3237154483795
TiDE,Neuralforecast,ftsfr_he_kelly_manela_all,4,MS,1,104,4.238025188446045,0.6871298551559448,68.0498275756836,104.933349609375,106.79547810554504
TiDE,Neuralforecast,ftsfr_he_kelly_manela_factors_daily,4,B,1,1384,4.993596076965332,1.6849334239959717,18.922962188720703,22.342050552368164,442.7706480026245
TiDE,Neuralforecast,ftsfr_he_kelly_manela_factors_monthly,4,MS,1,118,2.723586320877075,1.5070600509643557,61.73876190185547,74.44486236572266,103.6718099117279
TiDE,Neuralforecast,ftsfr_hkm_option_returns,18,D,1,1748,1.385445475578308,9.848077774047852,0.0189153254032135,0.0322403647005558,877.3908069133759
TiDE,Neuralforecast,ftsfr_nyu_call_report_cash_liquidity,23816,QE,4,13,1.6617508667159635,0.2004380298085991,0.0359085014981661,0.0420377467067807,125.4844446182251
TiDE,Neuralforecast,ftsfr_nyu_call_report_holding_company_cash_liquidity,13279,QE,4,9,1.351536344495906,0.193627756898548,0.0283469232691019,0.0323555782507632,58.43948888778687
TiDE,Neuralforecast,ftsfr_nyu_call_report_holding_company_leverage,13270,QE,4,9,0.963744541224327,0.0398081097376535,0.7585767014900777,0.8562984757710589,59.90644979476929
TiDE,Neuralforecast,ftsfr_nyu_call_report_leverage,22927,QE,4,13,1.1436576107979664,0.0512380908591677,0.955860756520778,1.0890694076038905,118.48080539703368
TiDE,Neuralforecast,ftsfr_tips_treasury_basis,4,ME,12,51,0.7996311783790588,0.4247171580791473,12.990352630615234,16.343978881835938,25.93558096885681
TiDE,Neuralforecast,ftsfr_treas_bond_portfolio_returns,10,ME,1,134,0.5788004398345947,1.9985544681549072,0.0046182190999388,0.006318837404251,105.23582100868224
TiDE,Neuralforecast,ftsfr_treas_bond_returns,1951,ME,1,7,0.1482431590557098,0.4086737334728241,0.0041307834908366,0.0042789527215063,34.097453594207764
VanillaTransformer,Neuralforecast,ftsfr_CDS_bond_basis_non_aggregated,3314,ME,12,6,0.5401080775176679,0.310273771832703,1.997533713176752,2.062333416786923,668.4249768257141
VanillaTransformer,Neuralforecast,ftsfr_CDS_contract_returns,6388,ME,1,6,0.2495746851964974,0.1839831843036986,0.0026595225892805,0.0027078021021567,208.8437192440033
VanillaTransformer,Neuralforecast,ftsfr_CDS_portfolio_returns,20,ME,1,56,0.6982790231704712,0.1254174262285232,0.0004568982985801,0.0007187703740783,231.59250807762143
VanillaTransformer,Neuralforecast,ftsfr_CIP_spreads,8,ME,12,204,0.8973603844642639,0.3650497794151306,19.54964637756348,22.51845932006836,3545.683714866638
VanillaTransformer,Neuralforecast,ftsfr_CRSP_monthly_stock_ret,26474,ME,1,17,1.4618659192579415,1.2525661959506498,0.1918760998414294,0.1918760872516695,255.38463401794436
VanillaTransformer,Neuralforecast,ftsfr_CRSP_monthly_stock_retx,26474,ME,1,17,1.4649497054197609,1.2332412165777125,0.1914913441875193,0.1914913315977593,256.68417859077454
VanillaTransformer,Neuralforecast,ftsfr_FX_returns,9,ME,1,380,20.074567794799805,0.9434121251106262,1.8559218645095823,2.3903896808624268,5814.554062128067
VanillaTransformer,Neuralforecast,ftsfr_cjs_option_returns,54,D,1,1748,1.1905815601348877,0.7268176674842834,0.0214844569563865,0.0380332916975021,32953.661665678024
VanillaTransformer,Neuralforecast,ftsfr_commodities_returns,4,ME,1,112,1.004608988761902,1.0359338521957395,0.0707101300358772,0.0863451361656189,461.83578157424927
VanillaTransformer,Neuralforecast,ftsfr_corp_bond_portfolio_returns,10,ME,1,49,1.1878339052200315,1.45525062084198,0.0180149003863334,0.0252735670655965,148.83729529380798
VanillaTransformer,Neuralforecast,ftsfr_corp_bond_returns,22146,ME,1,7,1.4062337345893208,4.456964487399303,0.0416482551254116,0.0425484240145925,269.742130279541
VanillaTransformer,Neuralforecast,ftsfr_he_kelly_manela_all,4,MS,1,104,4.374040126800537,1.5067777633666992,67.54080963134766,103.60700988769533,1029.4064145088196
VanillaTransformer,Neuralforecast,ftsfr_he_kelly_manela_factors_daily,4,B,1,1384,6.036268711090088,2.487581729888916,22.43625831604004,27.03426170349121,21404.70086836815
VanillaTransformer,Neuralforecast,ftsfr_he_kelly_manela_factors_monthly,4,MS,1,118,14.811243057250977,0.8395423889160156,422.5245666503906,471.5005798339844,1169.7651526927948
VanillaTransformer,Neuralforecast,ftsfr_hkm_option_returns,18,D,1,1748,1.346950888633728,0.7748124003410339,0.0183961633592844,0.0319198369979858,33920.42174220085
VanillaTransformer,Neuralforecast,ftsfr_nyu_call_report_cash_liquidity,23816,QE,4,13,1.480834626039523,0.1726947046601723,0.0308901442748855,0.0365032829211409,293.9174621105194
VanillaTransformer,Neuralforecast,ftsfr_nyu_call_report_holding_company_cash_liquidity,13279,QE,4,9,1.18223732284728,0.1623376427575544,0.024220051846172,0.0275399649834718,215.86494994163516
VanillaTransformer,Neuralforecast,ftsfr_nyu_call_report_holding_company_leverage,13270,QE,4,9,0.8288496971924438,0.0336597071003655,0.6603754548076256,0.7215639527824036,216.3037316799164
VanillaTransformer,Neuralforecast,ftsfr_nyu_call_report_leverage,22927,QE,4,13,0.8589156443412909,0.0371055056625082,0.6972435638400751,0.8058916680481875,290.80540704727173
VanillaTransformer,Neuralforecast,ftsfr_tips_treasury_basis,4,ME,12,51,0.9129139184951782,0.4315583705902099,14.771244049072266,17.720571517944336,586.1568646430969
VanillaTransformer,Neuralforecast,ftsfr_treas_bond_portfolio_returns,10,ME,1,134,0.59922856092453,2.1947007179260254,0.0048223929479718,0.0064091579988598,554.9139387607574
VanillaTransformer,Neuralforecast,ftsfr_treas_bond_returns,1951,ME,1,7,0.296047568321228,2.9437568187713623,0.0081583801656961,0.008296700194478,185.08746528625488
