Model,Dataset,Status,Issue_Details,CSV_Exists
simple_exponential_smoothing,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_CRSP_monthly_stock_ret,Success,Completed successfully,True
simple_exponential_smoothing,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
auto_arima_fast,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
auto_arima_fast,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_FX_returns,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_french_portfolios_25_daily_size_and_bm,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
auto_arima_fast,ftsfr_CRSP_monthly_stock_ret,Success,Completed successfully,True
auto_arima_fast,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
deepar,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
deepar,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
deepar,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
deepar,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
deepar,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
deepar,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
deepar,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
deepar,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
deepar,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
deepar,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
deepar,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
deepar,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
deepar,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
