Dataset_Short,Historic Average,Auto ARIMA,Theta,Auto DeepAR,Auto N-BEATS,Auto N-HiTS,Auto DLinear,Auto NLinear,Auto TiDE,Auto KAN
CDS Portfolio Returns,,-4.330318301916122,-0.3053693622350693,,,,,,,
Corporate Portfolio Returns,-1.1920928955078126e-08,-0.0019141376018524,-0.0537502884864807,-0.4871397376060485,0.0293395936489105,0.0406586170196533,0.0335647583007812,0.0572380185127258,0.0600647330284118,0.029649806022644
HKM All Factor Returns,-3.725290298461914e-07,0.2592180073261261,0.2047602087259292,-1.298166662454605,-0.2066459357738495,-0.2468628883361816,-0.5791367143392563,-0.6808888912200928,-0.5943450778722763,-1.0555876195430756
HKM Monthly Factor Returns,7.450580596923828e-08,0.1433231979608535,0.1812611222267151,-0.7147261500358582,-173.7235970497131,-7.0640352964401245,-3.0818502008914948,-4.172067731618881,-2.2913198322057724,-10.146602243185043
HKM Option Returns,2.3179584079318577e-08,-0.8041547106371986,-1.0637153453297086,-0.8263648549715678,-0.515134808089998,-0.3294217156039344,-0.4943781263298458,-0.4935047030448913,-0.5783971978558434,-0.4709274636374579
Treasury Portfolio Returns,,-2.047649437189102,-2.2164726853370667,,,,,,,
